date,AK_daily_pos,AL_daily_pos,AR_daily_pos,AZ_daily_pos,CA_daily_pos,CO_daily_pos,CT_daily_pos,DC_daily_pos,DE_daily_pos,FL_daily_pos,GA_daily_pos,HI_daily_pos,IA_daily_pos,ID_daily_pos,IL_daily_pos,IN_daily_pos,KS_daily_pos,KY_daily_pos,LA_daily_pos,MA_daily_pos,MD_daily_pos,ME_daily_pos,MI_daily_pos,MN_daily_pos,MO_daily_pos,MS_daily_pos,MT_daily_pos,NC_daily_pos,ND_daily_pos,NE_daily_pos,NH_daily_pos,NJ_daily_pos,NM_daily_pos,NV_daily_pos,NY_daily_pos,OH_daily_pos,OK_daily_pos,OR_daily_pos,PA_daily_pos,RI_daily_pos,SC_daily_pos,SD_daily_pos,TN_daily_pos,TX_daily_pos,UT_daily_pos,VA_daily_pos,VT_daily_pos,WA_daily_pos,WI_daily_pos,WV_daily_pos,WY_daily_pos
7/17/2020,49,2003,648,3910,9986,571,143,39,223,11466,3908,19,590,688,1427,733,1032,522,2179,298,707,38,754,666,866,1032,135,2051,124,155,52,50,297,1380,6984,1679,699,293,1032,82,1977,95,2279,14916,727,1002,9,1267,929,126,43
7/18/2020,78,2143,1,2742,9199,618,1,79,92,10328,4689,23,185,619,1276,841,1,579,1,359,835,10,745,457,960,1017,105,2481,115,227,1,263,318,1182,7195,1542,916,347,763,1,1552,73,2517,10158,760,940,4,754,1031,111,39
7/19/2020,118,1777,771,2359,9329,444,1,67,90,12478,3251,20,816,550,965,917,1,977,3116,296,925,41,530,734,846,792,62,1820,112,120,38,1,280,1288,7683,1110,209,430,786,1,2374,44,1779,7300,785,1057,12,959,849,148,18
7/20/2020,137,1880,1394,1559,6846,354,162,78,1,10347,2452,27,443,571,1173,635,1369,253,3186,255,554,24,527,903,530,1251,88,1268,107,102,1,180,235,948,7377,1236,168,268,711,111,1459,37,1639,7404,409,945,10,920,727,100,61
7/21/2020,111,1467,728,3500,9231,424,41,88,227,9440,3413,12,308,393,955,710,1,646,1691,244,860,12,664,350,1138,1635,91,1815,81,264,46,293,244,815,6447,1047,893,292,1027,82,1892,76,2190,9305,486,996,6,797,1161,57,51
7/22/2020,94,1455,591,1926,12807,493,127,102,46,9785,3314,25,319,556,1598,757,770,480,2771,287,627,1,671,504,1301,1547,101,2140,160,343,13,389,302,1129,5146,1527,975,254,631,76,1705,58,2473,9879,566,1022,1,832,747,7,50
7/23/2020,65,2399,1013,2335,12040,639,9,42,132,10249,4286,17,841,500,1624,929,1,607,2296,1,664,14,701,760,1637,982,97,1892,126,296,33,242,311,1262,4790,1444,668,320,962,86,1564,66,2570,9507,521,844,11,672,1086,344,58
7/24/2020,64,1793,990,3357,9718,616,544,78,278,12444,4813,55,637,414,1599,996,1005,784,2084,327,930,20,641,767,1652,1610,129,2102,121,332,23,458,335,966,5707,1560,1147,391,1213,76,2001,57,2091,8701,863,1127,8,762,1058,145,59
7/25/2020,120,2125,1,3740,10066,666,1,68,1,12199,3787,59,400,528,1426,922,1,833,1,621,1288,33,1,803,1357,1434,221,2097,122,356,97,513,312,931,4812,1438,965,388,1054,1,1401,105,1718,6020,661,1245,11,815,988,126,41
7/26/2020,234,1164,1374,1973,8259,809,1,63,115,9344,2765,71,529,563,1541,852,1,315,3840,369,694,24,1589,862,1218,1207,82,1621,140,221,21,505,313,1027,3254,889,1204,266,800,1,1191,90,3140,5810,350,958,4,1025,965,139,29
